cluster amount population
1.000000000000000000e+00 2.347776419999449331e+02 7.398299999999999321e-02
2.000000000000000000e+00 2.586351999984866090e+00 9.087619999999999587e-01
3.000000000000000000e+00 1.731899999999675019e-02 1.716600000000000070e-02
4.000000000000000000e+00 8.899999999999984584e-05 8.899999999999999491e-05
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
