dose S_01 S_2 S_20 S_001
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.824259179830389099e-01 9.822532318206088631e-01 9.822441302070441527e-01 9.831747742109409050e-01
1.000000000000000000e+00 9.615854234592428051e-01 9.603871713815896882e-01 9.603188201750925135e-01 9.652565294721545675e-01
1.500000000000000000e+00 9.379883265805308845e-01 9.344445103648637563e-01 9.342302034660564525e-01 9.469200815342867505e-01
2.000000000000000000e+00 9.120472278497279150e-01 9.046464687538421368e-01 9.041795207221656749e-01 9.285146226325716734e-01
2.500000000000000000e+00 8.841413484077409457e-01 8.713777095336422418e-01 8.705481137873042341e-01 9.102348483549832503e-01
3.000000000000000000e+00 8.546355054383421024e-01 8.351548963125381420e-01 8.338639986016692651e-01 8.921864837935871151e-01
3.500000000000000000e+00 8.238822119418847123e-01 7.965852824137450439e-01 7.947568668985421914e-01 8.744250419865114976e-01
4.000000000000000000e+00 7.922179512601749130e-01 7.563219690694306108e-01 7.539091004344290470e-01 8.569780759240482881e-01
4.500000000000000000e+00 7.599580280082378625e-01 7.150221109992688229e-01 7.120095062378808404e-01 8.398576562836592707e-01
5.000000000000000000e+00 7.273923631305797555e-01 6.733115241849570998e-01 6.697143811869830099e-01 8.230673882305546973e-01
5.500000000000000000e+00 6.947823455722554886e-01 6.317586125628193994e-01 6.276186531108873812e-01 8.066062488227122573e-01
6.000000000000000000e+00 6.623594003277103459e-01 5.908574149470007253e-01 5.862370803224330462e-01 7.904707296647260906e-01
6.500000000000000000e+00 6.303245583791079465e-01 5.510190616569351496e-01 5.459952229967488524e-01 7.746560037076700711e-01
7.000000000000000000e+00 5.988492315837034008e-01 5.125703621670151255e-01 5.072283935852294201e-01 7.591565872771632861e-01
7.500000000000000000e+00 5.680767812376203985e-01 4.757577388905769866e-01 4.701856980294761290e-01 7.439666843112079375e-01
8.000000000000000000e+00 5.381242227199553030e-01 4.407542560792084285e-01 4.350385279801399774e-01 7.290803841872559588e-01
