dose S
0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.754444934532663369e-01
1.000000000000000000e+00 9.500475649928252775e-01
1.500000000000000000e+00 9.247608236923534619e-01
2.000000000000000000e+00 8.998549768719101838e-01
2.500000000000000000e+00 8.747913835637561863e-01
3.000000000000000000e+00 8.480787814773286248e-01
3.500000000000000000e+00 8.174653626809614826e-01
4.000000000000000000e+00 7.805452937322001628e-01
4.500000000000000000e+00 7.355325775995630311e-01
5.000000000000000000e+00 6.818580232508278938e-01
5.500000000000000000e+00 6.203749336528016078e-01
6.000000000000000000e+00 5.531621512075940439e-01
6.500000000000000000e+00 4.830600861236854504e-01
7.000000000000000000e+00 4.131246802496923443e-01
7.500000000000000000e+00 3.461504132249391685e-01
8.000000000000000000e+00 2.843487401315540342e-01
