dose S
0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.627740585019481934e-01
1.000000000000000000e+00 9.265846649215893072e-01
1.500000000000000000e+00 8.914298482017602998e-01
2.000000000000000000e+00 8.573047087017149348e-01
2.500000000000000000e+00 8.242017520398284836e-01
3.000000000000000000e+00 7.921112438471993311e-01
3.500000000000000000e+00 7.610214756835974592e-01
4.000000000000000000e+00 7.309190290215574759e-01
4.500000000000000000e+00 7.017890091740163205e-01
5.000000000000000000e+00 6.736152627392971715e-01
5.500000000000000000e+00 6.463805267235417373e-01
6.000000000000000000e+00 6.200666691821757892e-01
6.500000000000000000e+00 5.946547747402691764e-01
7.000000000000000000e+00 5.701253086540694071e-01
7.500000000000000000e+00 5.464582359087367669e-01
8.000000000000000000e+00 5.236331554431408186e-01
