dose S
0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 9.675998453194343263e-01
1.000000000000000000e+00 9.359465917547784564e-01
1.500000000000000000e+00 9.050383958476204693e-01
2.000000000000000000e+00 8.748725757905295719e-01
2.500000000000000000e+00 8.454456490703140537e-01
3.000000000000000000e+00 8.167533137184734837e-01
3.500000000000000000e+00 7.887905685660308031e-01
4.000000000000000000e+00 7.615517044863261420e-01
4.500000000000000000e+00 7.350302619434699869e-01
5.000000000000000000e+00 7.092192693691500294e-01
5.500000000000000000e+00 6.841109956884827703e-01
6.000000000000000000e+00 6.596973100637330001e-01
6.500000000000000000e+00 6.359694359377288109e-01
7.000000000000000000e+00 6.129181454018771680e-01
7.500000000000000000e+00 5.905337705381626945e-01
8.000000000000000000e+00 5.688062341563695501e-01
